#ESP32; measured
58 μs; 59 μs
47 μs; 47 μs
54 μs; 54 μs
97 μs; 98 μs
None; 5 μs
54 μs; 54 μs
2448; None
17547; 74 μs
13 μs; 14 μs
6753; None
17193; 72 μs
72 μs; 72 μs
38 μs; 38 μs
93 μs; 93 μs
88 μs; 89 μs
5 μs; 5 μs
35 μs; 36 μs
85 μs; 85 μs
36 μs; 36 μs
55 μs; 56 μs
17496; None
3639; 15 μs
16 μs; 18 μs
82 μs; 83 μs
80 μs; 82 μs
54 μs; 54 μs
30 μs; 31 μs
18021; None
17673; None
17061; None
5139; 22 μs
5 μs; 5 μs
9 μs; 11 μs
31 μs; 31 μs
None; 5 μs
19 μs; 19 μs
92 μs; 93 μs
55 μs; 56 μs
5 μs; 5 μs
7257; None
6678; 28 μs
56 μs; 57 μs
None; 5 μs
88 μs; 88 μs
6 μs; 6 μs
92 μs; 93 μs
9 μs; 9 μs
2730; None
17283; 73 μs
65 μs; 66 μs
7 μs; 7 μs
13 μs; 14 μs
2196; None
3228; 14 μs
73 μs; 74 μs
1461; None
4128; 18 μs
76 μs; 76 μs
43 μs; 43 μs
73 μs; 74 μs
88 μs; 89 μs
None; 6 μs
89 μs; 89 μs
6 μs; 7 μs
37 μs; 38 μs
9 μs; 10 μs
88 μs; 88 μs
13632; None
23425; 99 μs
32 μs; 33 μs
60 μs; 61 μs
43 μs; 44 μs
99 μs; 99 μs
17 μs; 14 μs
23 μs; 23 μs
41 μs; 41 μs
31 μs; 30 μs
5 μs; 5 μs
99 μs; 99 μs
47 μs; 48 μs
14 μs; 15 μs
9 μs; 9 μs
17 μs; 17 μs
None; 66 μs
27 μs; 27 μs
19 μs; 19 μs
67 μs; 66 μs
62 μs; 63 μs
28 μs; 27 μs
31 μs; 32 μs
34 μs; 35 μs
47 μs; 48 μs
34 μs; 34 μs
95 μs; 95 μs
91 μs; 92 μs
6 μs; 6 μs
33 μs; 33 μs
None; 5 μs
89 μs; 89 μs
7 μs; 7 μs
15686; None
20295; 85 μs
90 μs; 90 μs
35 μs; 36 μs
5 μs; 6 μs
94 μs; 94 μs
42 μs; 42 μs
73 μs; 74 μs
79 μs; 81 μs
24 μs; 25 μs
93 μs; 93 μs
61 μs; 61 μs
7 μs; 6 μs
71 μs; 72 μs
98 μs; 98 μs
7 μs; 8 μs
19 μs; 20 μs
8 μs; 8 μs
90 μs; 91 μs
80 μs; 80 μs
9 μs; 9 μs
51 μs; 52 μs
40 μs; 40 μs
None; 5 μs
24156; None
17070; 71 μs
56 μs; 56 μs
21 μs; 22 μs
85 μs; 87 μs
90 μs; 89 μs
20778; None
11223; 47 μs
75 μs; 76 μs
60 μs; 61 μs
55 μs; 56 μs
20 μs; 22 μs
48 μs; 49 μs
4599; None
20619; 87 μs
62 μs; 62 μs
7 μs; 7 μs
1338; None
22038; 93 μs
20 μs; 19 μs
39 μs; 40 μs
13335; None
1866; 8 μs
14 μs; 15 μs
86 μs; 87 μs
51 μs; 52 μs
49 μs; 50 μs
1158; None
18507; 78 μs
73 μs; 75 μs
None; 5 μs
12178; None
24000; 100 μs
6 μs; 7 μs
6 μs; 7 μs
67 μs; 67 μs
36 μs; 37 μs
4 μs; 4 μs
43 μs; 44 μs
29 μs; 30 μs
77 μs; 77 μs
12 μs; 12 μs
7 μs; 7 μs
48 μs; 50 μs
66 μs; 67 μs
78 μs; 79 μs
24 μs; 24 μs
42 μs; 44 μs
33 μs; 33 μs
61 μs; 62 μs
None; 75 μs
80 μs; 81 μs
21 μs; 21 μs
None; 40 μs
None; 6 μs
14 μs; 14 μs
73 μs; 74 μs
86 μs; 87 μs
10 μs; 10 μs
62 μs; 62 μs
21054; None
13719; 58 μs
24 μs; 25 μs
46 μs; 47 μs
83 μs; 84 μs
None; 5 μs
11 μs; 11 μs
44 μs; 44 μs
37 μs; 37 μs
42 μs; 44 μs
20280; None
4368; 18 μs
57 μs; 58 μs
18 μs; 18 μs
95 μs; 95 μs
37 μs; 37 μs
9 μs; 10 μs
None; 5 μs
84 μs; 86 μs
65 μs; 66 μs
5 μs; 7 μs
64 μs; 65 μs
8 μs; 9 μs
8 μs; 8 μs
None; 5 μs
None; 74 μs
16443; None
11040; 46 μs
61 μs; 61 μs
74 μs; 75 μs
1494; None
12510; 53 μs
7 μs; 8 μs
5 μs; 6 μs
70 μs; 70 μs
91 μs; 93 μs
86 μs; 87 μs
57 μs; 58 μs
None; 5 μs
46 μs; 48 μs
95 μs; 95 μs
76 μs; 77 μs
7 μs; 8 μs
12213; None
10101; 42 μs
76 μs; 77 μs
6 μs; 6 μs
23 μs; 24 μs
81 μs; 81 μs
37 μs; 38 μs
None; 5 μs
43 μs; 43 μs
89 μs; 89 μs
10 μs; 10 μs
None; 7 μs
83 μs; 83 μs
32 μs; 33 μs
32 μs; 33 μs
9276; None
2046; 9 μs
48 μs; 49 μs
95 μs; 96 μs
13509; None
17628; 75 μs
15597; None
18381; 78 μs
60 μs; 62 μs
36 μs; 37 μs
13 μs; 14 μs
69 μs; 69 μs
6 μs; 6 μs
9 μs; 10 μs
None; 5 μs
42 μs; 43 μs
55 μs; 57 μs
37 μs; 38 μs
89 μs; 89 μs
14 μs; 14 μs
25 μs; 26 μs
None; 5 μs
60 μs; 59 μs
74 μs; 75 μs
37 μs; 38 μs
7 μs; 8 μs
39 μs; 40 μs
82 μs; 82 μs
4 μs; 4 μs
49 μs; 49 μs
None; 5 μs
2504; None
16929; 72 μs
4 μs; 5 μs
18 μs; 18 μs
10206; None
23526; 99 μs
43 μs; 44 μs
13 μs; 13 μs
10590; None
3455; 14 μs
12 μs; 13 μs
18 μs; 19 μs
59 μs; 60 μs
51 μs; 51 μs
60 μs; 61 μs
12 μs; 12 μs
17358; None
5775; 25 μs
33 μs; 33 μs
49 μs; 50 μs
27 μs; 28 μs
81 μs; 82 μs
56 μs; 56 μs
50 μs; 47 μs
11 μs; 12 μs
